timestamp,station_id,latitude,longitude,cost,temperature,humidity,pressure,elevation,sensor_type,sensor_group,sensor_modality,site_type,maintenance_state,maintenance_age
2025-01-15T00:00,BUSAN_PORT,35.1028,129.0403,1.45,7.334,78.400,1018.200,8.0,lidar,remote,optical,coastal,maintained,0.6
2025-01-15T00:00,BUSAN_HILLS,35.2323,129.0871,1.20,6.889,78.106,1018.080,78.0,aws,surface,ultrasonic,mountain,maintained,1.8
2025-01-15T00:00,GIMHAE,35.2283,128.8894,0.95,7.413,77.297,1017.960,12.0,aws,surface,mechanical,urban,maintained,2.6
2025-01-15T00:00,YANGSAN,35.3350,129.0375,0.90,7.630,76.170,1017.840,32.0,rain_gauge,precipitation,tipping_bucket,urban,aging,4.2
2025-01-15T00:00,ULSAN,35.5384,129.3114,1.30,8.428,75.001,1017.720,14.0,lidar,remote,optical,industrial,maintained,1.1
2025-01-15T00:00,MIRYANG,35.4934,128.7462,0.82,7.394,74.077,1017.600,45.0,aws,surface,mechanical,inland,aging,6.5
2025-01-15T00:00,CHANGWON,35.2281,128.6811,1.05,7.640,73.624,1017.480,28.0,disdrometer,precipitation,optical,urban,maintained,2.2
2025-01-15T00:00,GEOJE,34.8806,128.6210,0.75,7.824,73.753,1017.360,18.0,rain_gauge,precipitation,tipping_bucket,coastal,aging,7.4
2025-01-15T00:00,POHANG,36.0190,129.3435,1.15,9.280,74.431,1017.240,6.0,lidar,remote,optical,coastal,maintained,1.4
2025-01-15T00:00,JINJU,35.1799,128.1076,0.70,7.182,75.494,1017.120,36.0,aws,surface,mechanical,inland,degraded,9.1
2025-01-15T01:00,BUSAN_PORT,35.1028,129.0403,1.45,8.470,76.037,1018.183,8.0,lidar,remote,optical,coastal,maintained,0.6
2025-01-15T01:00,BUSAN_HILLS,35.2323,129.0871,1.20,8.025,75.557,1018.063,78.0,aws,surface,ultrasonic,mountain,maintained,1.8
2025-01-15T01:00,GIMHAE,35.2283,128.8894,0.95,8.549,74.614,1017.943,12.0,aws,surface,mechanical,urban,maintained,2.6
2025-01-15T01:00,YANGSAN,35.3350,129.0375,0.90,8.766,73.441,1017.823,32.0,rain_gauge,precipitation,tipping_bucket,urban,aging,4.2
2025-01-15T01:00,ULSAN,35.5384,129.3114,1.30,9.564,72.324,1017.703,14.0,lidar,remote,optical,industrial,maintained,1.1
2025-01-15T01:00,MIRYANG,35.4934,128.7462,0.82,8.530,71.536,1017.583,45.0,aws,surface,mechanical,inland,aging,6.5
2025-01-15T01:00,CHANGWON,35.2281,128.6811,1.05,8.776,71.271,1017.463,28.0,disdrometer,precipitation,optical,urban,maintained,2.2
2025-01-15T01:00,GEOJE,34.8806,128.6210,0.75,8.959,71.594,1017.343,18.0,rain_gauge,precipitation,tipping_bucket,coastal,aging,7.4
2025-01-15T01:00,POHANG,36.0190,129.3435,1.15,10.415,72.425,1017.223,6.0,lidar,remote,optical,coastal,maintained,1.4
2025-01-15T01:00,JINJU,35.1799,128.1076,0.70,8.318,73.561,1017.103,36.0,aws,surface,mechanical,inland,degraded,9.1
2025-01-15T02:00,BUSAN_PORT,35.1028,129.0403,1.45,9.523,83.768,1018.132,8.0,lidar,remote,optical,coastal,maintained,0.6
2025-01-15T02:00,BUSAN_HILLS,35.2323,129.0871,1.20,9.078,83.114,1018.012,78.0,aws,surface,ultrasonic,mountain,maintained,1.8
2025-01-15T02:00,GIMHAE,35.2283,128.8894,0.95,9.601,82.065,1017.892,12.0,aws,surface,mechanical,urban,maintained,2.6
2025-01-15T02:00,YANGSAN,35.3350,129.0375,0.90,9.818,80.877,1017.772,32.0,rain_gauge,precipitation,tipping_bucket,urban,aging,4.2
2025-01-15T02:00,ULSAN,35.5384,129.3114,1.30,10.617,79.842,1017.652,14.0,lidar,remote,optical,industrial,maintained,1.1
2025-01-15T02:00,MIRYANG,35.4934,128.7462,0.82,9.582,69.213,1017.532,45.0,aws,surface,mechanical,inland,aging,6.5
2025-01-15T02:00,CHANGWON,35.2281,128.6811,1.05,9.828,69.144,1017.412,28.0,disdrometer,precipitation,optical,urban,maintained,2.2
2025-01-15T02:00,GEOJE,34.8806,128.6210,0.75,10.012,69.652,1017.292,18.0,rain_gauge,precipitation,tipping_bucket,coastal,aging,7.4
2025-01-15T02:00,POHANG,36.0190,129.3435,1.15,11.468,80.612,1017.172,6.0,lidar,remote,optical,coastal,maintained,1.4
